polyclinic,date,time,patientCount
Ang Mo Kio,2017-12-13,09:30,92
Ang Mo Kio,2017-12-13,09:35,92
Ang Mo Kio,2017-12-13,09:40,92
Ang Mo Kio,2017-12-13,09:45,105
Ang Mo Kio,2017-12-13,09:50,105
Ang Mo Kio,2017-12-13,09:55,105
Ang Mo Kio,2017-12-13,10:00,99
Ang Mo Kio,2017-12-13,10:05,99
Ang Mo Kio,2017-12-13,10:10,99
Ang Mo Kio,2017-12-13,10:15,112
Ang Mo Kio,2017-12-13,10:20,112
Ang Mo Kio,2017-12-13,10:25,112
Ang Mo Kio,2017-12-13,10:30,113
Ang Mo Kio,2017-12-13,10:35,113
Ang Mo Kio,2017-12-13,10:40,113
Ang Mo Kio,2017-12-13,10:45,120
Ang Mo Kio,2017-12-13,10:50,120
Ang Mo Kio,2017-12-13,10:55,120
Ang Mo Kio,2017-12-13,11:00,119
Ang Mo Kio,2017-12-13,11:05,119
Ang Mo Kio,2017-12-13,11:10,119
Ang Mo Kio,2017-12-13,11:15,123
Ang Mo Kio,2017-12-13,11:20,123
Ang Mo Kio,2017-12-13,11:25,123
Ang Mo Kio,2017-12-13,11:30,136
Ang Mo Kio,2017-12-13,11:35,136
Ang Mo Kio,2017-12-13,11:40,136
Ang Mo Kio,2017-12-13,11:45,130
Ang Mo Kio,2017-12-13,11:50,130
Ang Mo Kio,2017-12-13,11:55,130
Ang Mo Kio,2017-12-13,13:30,44
Ang Mo Kio,2017-12-13,13:35,44
Ang Mo Kio,2017-12-13,13:40,44
Ang Mo Kio,2017-12-13,13:45,52
Ang Mo Kio,2017-12-13,13:50,52
Ang Mo Kio,2017-12-13,13:55,52
Ang Mo Kio,2017-12-13,14:00,63
Ang Mo Kio,2017-12-13,14:05,63
Ang Mo Kio,2017-12-13,14:10,63
Ang Mo Kio,2017-12-13,14:15,103
Ang Mo Kio,2017-12-13,14:20,103
Ang Mo Kio,2017-12-13,14:25,103
Ang Mo Kio,2017-12-13,14:30,105
Ang Mo Kio,2017-12-13,14:35,105
Ang Mo Kio,2017-12-13,14:40,105
Ang Mo Kio,2017-12-13,14:45,104
Ang Mo Kio,2017-12-13,14:50,104
Ang Mo Kio,2017-12-13,14:55,104
Ang Mo Kio,2017-12-13,15:00,95
Ang Mo Kio,2017-12-13,15:05,95
Ang Mo Kio,2017-12-13,15:10,95
Ang Mo Kio,2017-12-13,15:15,102
Ang Mo Kio,2017-12-13,15:20,102
Ang Mo Kio,2017-12-13,15:25,102
Ang Mo Kio,2017-12-13,15:30,113
Ang Mo Kio,2017-12-13,15:35,113
Ang Mo Kio,2017-12-13,15:40,113
Ang Mo Kio,2017-12-13,15:45,108
Ang Mo Kio,2017-12-13,15:50,108
Ang Mo Kio,2017-12-13,15:55,108
Ang Mo Kio,2017-12-14,08:00,0
Ang Mo Kio,2017-12-14,08:05,15
Ang Mo Kio,2017-12-14,08:10,15
Ang Mo Kio,2017-12-14,08:15,15
Ang Mo Kio,2017-12-14,08:20,56
Ang Mo Kio,2017-12-14,08:25,56
Ang Mo Kio,2017-12-14,08:30,56
Ang Mo Kio,2017-12-14,08:35,57
Ang Mo Kio,2017-12-14,08:40,57
Ang Mo Kio,2017-12-14,08:45,57
Ang Mo Kio,2017-12-14,08:50,75
Ang Mo Kio,2017-12-14,08:55,75
Ang Mo Kio,2017-12-14,09:00,75
Ang Mo Kio,2017-12-14,09:05,79
Ang Mo Kio,2017-12-14,09:10,79
Ang Mo Kio,2017-12-14,09:15,79
Ang Mo Kio,2017-12-14,09:20,85
Ang Mo Kio,2017-12-14,09:25,85
Ang Mo Kio,2017-12-14,09:30,85
Ang Mo Kio,2017-12-14,09:35,95
Ang Mo Kio,2017-12-14,09:40,95
Ang Mo Kio,2017-12-14,09:45,95
Ang Mo Kio,2017-12-14,09:50,88
Ang Mo Kio,2017-12-14,09:55,88
Ang Mo Kio,2017-12-14,10:00,88
Ang Mo Kio,2017-12-14,10:05,89
Ang Mo Kio,2017-12-14,10:10,89
Ang Mo Kio,2017-12-14,10:15,89
Ang Mo Kio,2017-12-14,10:20,90
Ang Mo Kio,2017-12-14,10:25,90
Ang Mo Kio,2017-12-14,10:30,90
Ang Mo Kio,2017-12-14,10:35,105
Ang Mo Kio,2017-12-14,10:40,105
Ang Mo Kio,2017-12-14,10:45,105
Ang Mo Kio,2017-12-14,10:50,112
Ang Mo Kio,2017-12-14,10:55,112
Ang Mo Kio,2017-12-14,11:00,112
Ang Mo Kio,2017-12-14,11:05,115
Ang Mo Kio,2017-12-14,11:10,115
Ang Mo Kio,2017-12-14,11:15,115
Ang Mo Kio,2017-12-14,11:20,120
Ang Mo Kio,2017-12-14,11:25,120
Ang Mo Kio,2017-12-14,11:30,120
Ang Mo Kio,2017-12-14,11:35,120
Ang Mo Kio,2017-12-14,11:40,120
Ang Mo Kio,2017-12-14,11:45,120
Ang Mo Kio,2017-12-14,11:50,114
Ang Mo Kio,2017-12-14,11:55,114
Ang Mo Kio,2017-12-14,13:30,46
Ang Mo Kio,2017-12-14,13:35,43
Ang Mo Kio,2017-12-14,13:40,43
Ang Mo Kio,2017-12-14,13:45,43
Ang Mo Kio,2017-12-14,13:50,47
Ang Mo Kio,2017-12-14,13:55,47
Ang Mo Kio,2017-12-14,14:00,47
Ang Mo Kio,2017-12-14,14:05,63
Ang Mo Kio,2017-12-14,14:10,63
Ang Mo Kio,2017-12-14,14:15,63
Ang Mo Kio,2017-12-14,14:20,89
Ang Mo Kio,2017-12-14,14:25,89
Ang Mo Kio,2017-12-14,14:30,89
Ang Mo Kio,2017-12-14,14:35,89
Ang Mo Kio,2017-12-14,14:40,89
Ang Mo Kio,2017-12-14,14:45,89
Ang Mo Kio,2017-12-14,14:50,91
Ang Mo Kio,2017-12-14,14:55,91
Ang Mo Kio,2017-12-14,15:00,91
Ang Mo Kio,2017-12-14,15:05,93
Ang Mo Kio,2017-12-14,15:10,93
Ang Mo Kio,2017-12-14,15:15,93
Ang Mo Kio,2017-12-14,15:20,105
Ang Mo Kio,2017-12-14,15:25,105
Ang Mo Kio,2017-12-14,15:30,105
Ang Mo Kio,2017-12-14,15:35,109
Ang Mo Kio,2017-12-14,15:40,109
Ang Mo Kio,2017-12-14,15:45,109
Ang Mo Kio,2017-12-14,15:50,100
Ang Mo Kio,2017-12-14,15:55,100
Ang Mo Kio,2017-12-15,08:00,0
Ang Mo Kio,2017-12-15,08:05,25
Ang Mo Kio,2017-12-15,08:10,25
Ang Mo Kio,2017-12-15,08:15,25
Ang Mo Kio,2017-12-15,08:20,58
Ang Mo Kio,2017-12-15,08:25,58
Ang Mo Kio,2017-12-15,08:30,58
Ang Mo Kio,2017-12-15,08:35,72
Ang Mo Kio,2017-12-15,08:40,72
Ang Mo Kio,2017-12-15,08:45,72
Ang Mo Kio,2017-12-15,08:50,81
Ang Mo Kio,2017-12-15,08:55,81
Ang Mo Kio,2017-12-15,09:00,81
Ang Mo Kio,2017-12-15,09:05,91
Ang Mo Kio,2017-12-15,09:10,91
Ang Mo Kio,2017-12-15,09:15,91
Ang Mo Kio,2017-12-15,09:20,98
Ang Mo Kio,2017-12-15,09:25,98
Ang Mo Kio,2017-12-15,09:30,98
Ang Mo Kio,2017-12-15,09:35,96
Ang Mo Kio,2017-12-15,09:40,96
Ang Mo Kio,2017-12-15,09:45,96
Ang Mo Kio,2017-12-15,09:50,115
Ang Mo Kio,2017-12-15,09:55,115
Ang Mo Kio,2017-12-15,10:00,115
Ang Mo Kio,2017-12-15,10:05,127
Ang Mo Kio,2017-12-15,10:10,127
Ang Mo Kio,2017-12-15,10:15,127
Ang Mo Kio,2017-12-15,10:20,121
Ang Mo Kio,2017-12-15,10:25,121
Ang Mo Kio,2017-12-15,10:30,121
Ang Mo Kio,2017-12-15,10:35,128
Ang Mo Kio,2017-12-15,10:40,128
Ang Mo Kio,2017-12-15,10:45,128
Ang Mo Kio,2017-12-15,10:50,134
Ang Mo Kio,2017-12-15,10:55,134
Ang Mo Kio,2017-12-15,11:00,134
Ang Mo Kio,2017-12-15,11:05,137
Ang Mo Kio,2017-12-15,11:10,137
Ang Mo Kio,2017-12-15,11:15,137
Ang Mo Kio,2017-12-15,11:20,141
Ang Mo Kio,2017-12-15,11:25,141
Ang Mo Kio,2017-12-15,11:30,141
Ang Mo Kio,2017-12-15,11:35,143
Ang Mo Kio,2017-12-15,11:40,143
Ang Mo Kio,2017-12-15,11:45,143
Ang Mo Kio,2017-12-15,11:50,127
Ang Mo Kio,2017-12-15,11:55,127
Ang Mo Kio,2017-12-15,13:30,54
Ang Mo Kio,2017-12-15,13:35,59
Ang Mo Kio,2017-12-15,13:40,59
Ang Mo Kio,2017-12-15,13:45,59
Ang Mo Kio,2017-12-15,13:50,63
Ang Mo Kio,2017-12-15,13:55,63
Ang Mo Kio,2017-12-15,14:00,63
Ang Mo Kio,2017-12-15,14:05,85
Ang Mo Kio,2017-12-15,14:10,85
Ang Mo Kio,2017-12-15,14:15,85
Ang Mo Kio,2017-12-15,14:20,91
Ang Mo Kio,2017-12-15,14:25,91
Ang Mo Kio,2017-12-15,14:30,91
Ang Mo Kio,2017-12-15,14:35,84
Ang Mo Kio,2017-12-15,14:40,84
Ang Mo Kio,2017-12-15,14:45,84
Ang Mo Kio,2017-12-15,14:50,91
Ang Mo Kio,2017-12-15,14:55,91
Ang Mo Kio,2017-12-15,15:00,91
Ang Mo Kio,2017-12-15,15:05,93
Ang Mo Kio,2017-12-15,15:10,93
Ang Mo Kio,2017-12-15,15:15,93
Ang Mo Kio,2017-12-15,15:20,107
Ang Mo Kio,2017-12-15,15:25,107
Ang Mo Kio,2017-12-15,15:30,107
Ang Mo Kio,2017-12-15,15:35,116
Ang Mo Kio,2017-12-15,15:40,116
